launch_id,cluster_name,unit_name,feature_teams,jirasprint_id,sprint_name,activation_date,complete_date,initial_commitment_sp,added_work_sp,final_commitment_sp,undone_sp,complete_sp,dev_potential_sp,scope_drop,done_total,sprint_goal,complete_initial_sp,complete_count_sg,count_sg,sprint_state,version_id,count_retro_ai,dev_approach,initial_commitment_issues,added_work_issues,final_commitment_issues,undone_issues,cancel_issues,complete_issues,scope_drop_issues,done_total_issues,done_issues,complete_initial_issues,cancel_rate
22449738,Mobile,Mobile Architecture,design system,29725500003,26-Q1 DS Sprint 2,2026-01-26 00:00:00,2026-02-06 00:00:00,95.0,1.0,96.0,8.0,88.0,88.0,8.0,92.0,100.0,87.0,2,2,closed,1090,0,Scrum,51.0,3.0,54.0,6.0,0.0,48.0,11.76,88.89,48.0,45.0,0.0
22449738,Mobile,Mobile Architecture,mobile archops,29400000001,26-Q1 Sprint 1: Jan 12 - 25,2026-01-13 00:00:00,2026-01-27 00:00:00,38.0,9.0,47.0,0.0,47.0,47.0,0.0,100.0,100.0,38.0,1,1,closed,1090,0,Scrum,15.0,7.0,22.0,0.0,0.0,22.0,0.0,100.0,22.0,15.0,0.0
22449738,Mobile,Mobile Architecture,mobile archops,29679000001,26-Q1 Sprint 2: Jan 26 - Feb 8,2026-01-27 00:00:00,2026-02-09 00:00:00,52.0,15.0,67.0,5.0,62.0,62.0,6.0,93.0,100.0,49.0,1,1,closed,1090,0,Scrum,20.0,8.0,28.0,3.0,0.0,25.0,10.0,89.29,25.0,18.0,0.0
22449738,Marketplace,Marketplace Buyer,shopping cart,29729250006,26Q1-1,2026-01-13 00:00:00,2026-01-26 00:00:00,40.0,1.0,41.0,8.0,33.0,33.0,20.0,80.0,0.0,32.0,0,1,closed,1090,0,Scrum,19.0,1.0,20.0,3.0,0.0,17.0,15.79,85.0,17.0,16.0,0.0
22449738,Internal Automation,Recruitment/Onboarding,rint,29464500001,26Q1-1,2026-01-13 00:00:00,2026-01-21 00:00:00,61.0,1.0,62.0,0.0,62.0,62.0,0.0,100.0,100.0,61.0,1,1,closed,1090,0,Scrum,16.0,1.0,17.0,0.0,0.0,17.0,0.0,100.0,17.0,16.0,0.0
22449738,Marketplace,Marketplace Buyer,shopping cart,29727250004,26Q1-2,2026-01-27 00:00:00,2026-02-09 00:00:00,39.5,6.0,45.5,3.0,42.5,42.5,8.0,93.0,50.0,36.5,1,2,closed,1090,0,Scrum,26.0,8.0,34.0,2.0,0.0,32.0,7.69,94.12,32.0,24.0,0.0
22449738,Internal Automation,Recruitment/Onboarding,rint,29728750006,26Q1-2,2026-01-21 00:00:00,2026-01-28 00:00:00,63.0,0.0,63.0,5.0,58.0,58.0,8.0,92.0,100.0,58.0,2,2,closed,1090,1,Scrum,17.0,1.0,18.0,1.0,0.0,17.0,5.88,94.44,17.0,16.0,0.0
22449738,Marketplace,Marketplace Buyer,shopping cart,29757750003,26Q1-3,2026-02-10 00:00:00,2026-02-24 00:00:00,59.0,0.0,59.0,53.0,6.0,6.0,90.0,10.0,0.0,6.0,0,2,active,1090,0,Scrum,34.0,0.0,34.0,28.0,0.0,6.0,82.35,17.65,6.0,6.0,0.0
22449738,Internal Automation,Recruitment/Onboarding,rint,29810750001,26Q1-3,2026-01-28 00:00:00,2026-02-04 00:00:00,59.0,5.0,64.0,0.0,64.0,64.0,0.0,100.0,100.0,59.0,2,2,closed,1090,2,Scrum,18.0,3.0,21.0,1.0,0.0,20.0,5.56,95.24,20.0,17.0,0.0
22449738,Internal Automation,Recruitment/Onboarding,rint,29903250001,26Q1-4,2026-02-04 00:00:00,2026-02-11 00:00:00,60.0,5.0,65.0,0.0,65.0,65.0,0.0,100.0,100.0,60.0,2,2,closed,1090,1,Scrum,19.0,1.0,20.0,1.0,0.0,19.0,5.26,95.0,19.0,18.0,0.0
22449738,Marketplace,Transaction,aoe,29207750001,26Q1-AOE-1,2026-01-13 00:00:00,2026-01-28 00:00:00,27.5,0.5,28.0,9.0,19.0,19.0,33.0,68.0,100.0,18.5,1,1,closed,1090,0,Scrum,17.0,1.0,18.0,4.0,0.0,14.0,23.53,77.78,14.0,13.0,0.0
22449738,Marketplace,Transaction,aoe,29427500001,26Q1-AOE-2,2026-01-28 00:00:00,2026-02-10 00:00:00,23.0,2.5,25.5,0.0,25.5,25.5,0.0,100.0,100.0,23.0,1,1,closed,1090,0,Scrum,15.0,2.0,17.0,0.0,0.0,17.0,0.0,100.0,17.0,15.0,0.0
22449738,RRE TRX Hub,RRE TRX,plov,29376000002,26Q1.1  Кто мы и где мы?,2026-01-13 00:00:00,2026-01-26 00:00:00,26.0,43.0,69.0,5.0,64.0,64.0,28.0,93.0,100.0,21.0,2,2,closed,1090,0,Scrum,15.0,20.0,35.0,2.0,1.0,33.0,18.75,94.29,33.0,13.0,2.78
22449738,RRE TRX Hub,RRE TRX,smith,29640500001,26Q1.1 - Стартуем,2026-01-12 00:00:00,2026-01-26 00:00:00,54.0,10.0,64.0,3.0,61.0,61.0,0.0,95.0,100.0,54.0,1,1,closed,1090,1,Scrum,22.0,7.0,29.0,3.0,0.0,26.0,4.55,89.66,26.0,21.0,0.0
22449738,Travel,Travel SX,honey badger,29561500004,26Q1.1 Конь не валялся,2026-01-12 00:00:00,2026-01-27 00:00:00,58.0,3.0,61.0,5.0,56.0,56.0,9.0,92.0,100.0,53.0,1,1,closed,1090,0,Scrum,19.0,1.0,20.0,1.0,0.0,19.0,5.26,95.0,19.0,18.0,0.0
22449738,RRE TRX Hub,RRE TRX,ditto,29316500001,26Q1.1: Here we go again,2026-01-12 00:00:00,2026-01-23 00:00:00,57.0,2.0,59.0,11.0,48.0,48.0,19.0,81.0,100.0,46.0,1,1,closed,1090,0,Scrum,21.0,2.0,23.0,5.0,0.0,18.0,23.81,78.26,18.0,16.0,0.0
